F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
29.243454,4.669597473,12.550109,28.98335,55.68489,43.13478,251.77016,198.69331,104.73859,90.186455,1.3273889,0.63522799,0.22610092,1.1979848,3.3084285,3.0823276,15.98502,8.125466,10.713898,6.5790715,0.9311888,0.841265101,25.212246,6.346597522,3.2180195,65.46237898,11.309203,9.500116208,-6.2048483,33.11757515,0.04754782,1.598505557,1.1223023,0.808030855,4.062782,38.58513195,3.7146797,120.9710022,19.779058,11.98701401,553.5196,71.35714545,1253.7203,102.4314005,-43.18399,22.71517977,1557.2565,95.47925165,983.0108,129.2128022,-50.401604,19.83311415,2585.2107,119.8255855,868.06085,127.2690836,-54.23271,18.97784052,-12.633491,4.173813463,21.837574,5.016856984,0.036178656,26.47070139,-0.022410586,0.633016172,0.9971831,0.831472608,29.189402,5.372604587,2.6501796,11.6311249,11.28615,20.65513639,-6.663447,59.05031983,-1.9023389,8.0707445,0.011069994,-0.011510393,0.694745,8.333334,3.0750003,0.33183056,0.279124864,0.066492,0.060816348,-22.273172
22.769178,2.412191081,12.743408,23.06491,46.96731,34.223904,201.61694,166.21693,83.94431,68.035225,1.110649,0.750715439,0.124069236,1.0392814,4.5227094,4.39864,14.973413,7.059457,9.284543,5.9578967,0.9262411,0.898320187,27.094824,5.892327235,7.130449,53.21818537,8.698609,18.46992557,11.832257,10.51051347,0.05157049,1.370197726,1.3716416,0.802320268,1.1716301,22.38577288,4.077653,67.05819456,22.59179,6.465421214,486.83408,67.57290981,1243.2107,86.73117615,-51.81425,28.83021589,1457.3132,81.53307677,942.235,99.62922453,-60.2956,25.64047904,2499.9658,81.52850587,798.1351,106.52363,-65.212944,24.83535544,-14.900922,3.122883296,25.353441,3.639679637,0.002027452,58.2650572,-0.011409367,10.09182123,1.0383779,0.86277789,31.519777,5.516397469,6.6285677,1386.810887,9.519855,20.59648375,10.372018,17.40285657,-9.997344,19.12697,-0.049504574,-0.000952352,0.57389426,9.375,3.7125003,0.25049967,0.234439658,0.07493666,0.055096086,-23.953882
21.153269,2.452646694,12.181716,21.048412,59.96616,47.784443,164.6211,119.75604,86.84813,75.90177,0.8838636,0.537329759,0.20884459,0.805743,2.4203672,2.2115226,10.757285,5.538371,7.1629806,4.319038,0.56934243,0.612100321,23.741783,5.580288781,9.436316,15.38527483,18.539059,6.740416633,-5.0218663,38.72564884,0.05083252,1.57022832,1.3433183,0.735327721,-0.149374,113.4012345,4.4389977,57.49070183,19.393711,5.593007801,507.7649,80.4456423,1187.0355,91.34915662,-38.971123,24.58121664,1541.4839,106.2022928,857.4209,134.7213436,-48.965675,21.14901534,2530.8726,126.5467983,760.3051,125.0949939,-49.354763,20.74895147,-14.306307,3.028381017,21.02175,4.022662336,-0.007156699,764.0056446,-0.026250763,0.515875714,0.5816161,0.616879872,27.080132,4.709483265,8.054872,19.36702271,19.204805,8.223472093,-6.18343,28.93952571,-5.9409246,10.493492,-0.029219048,-0.019606343,0.52556753,9.375,3.2000003,0.3436253,0.298536344,0.059497144,0.047455,-28.279879
29.017921,2.423543878,19.200819,28.714605,58.99873,39.797913,113.38402,82.028465,67.35953,50.81681,1.1458088,0.72546003,0.08630989,1.0179657,3.39645,3.3101401,15.312629,6.6914554,12.152231,6.799638,0.69425565,0.861841112,21.442234,6.77336154,0.7460319,164.4782057,10.115018,19.30414083,-3.1628351,62.09225896,0.033439774,1.343415361,1.3712173,0.735715816,3.800664,7.568280933,5.133736,11.04961204,18.997847,114.7157952,538.33527,101.9933393,1151.889,92.22130414,-54.204777,30.63305679,1538.4857,117.4987073,813.21313,111.0482325,-57.087017,27.13519525,2577.5613,131.2015681,725.5461,94.04690881,-60.695984,26.38809437,-9.5825815,3.681366299,19.993305,4.260075127,0.06113511,0.661481109,-0.016394088,2.088106704,0.82321733,0.715932323,26.82288,6.293824057,-1.6346228,38.61457884,12.098183,14.21474029,-5.838836,61.32001167,-2.2763398,9.282092,0.01794292,-0.008166876,0.32302088,8.333334,2.8958335,0.30547068,0.234041845,0.10840733,0.121454736,-25.614817
32.930775,5.745539309,0,32.69875,60.84324,60.84324,171.84492,103.23025,91.85959,75.38966,0.6977992,0.980883853,0.016230637,0.5300813,4.2600245,4.243794,9.942636,4.88456,7.0137906,4.5774903,0.49107718,1.32801047,21.494667,9.339335349,3.7281756,17.65337102,-2.3546169,20.09647901,-10.873326,17.20248438,0.053661365,1.512042212,1.4013609,0.855848571,5.130505,8.683972423,2.6701622,237.087683,21.555418,10.80680007,562.54865,111.072429,1227.8748,191.1830508,-65.48579,50.95721395,1568.0258,234.1596163,889.967,162.0959193,-68.02156,46.16091927,2647.2014,362.2591104,835.3825,182.8787275,-73.63533,44.03489563,-13.839531,5.517131726,25.56566,6.765816791,0.06913815,1.274262974,-0.026452316,3.98371951,0.6376392,0.960312744,28.204239,8.266889692,1.8442888,131.7216858,-2.2545378,21.65907325,-16.309305,16.16273245,-6.3793902,15.83872,0.005419248,-0.00339455,0.08679236,7.291667,2.529167,0.31437,0.258370852,0.15481934,0.214406896,-29.472202
29.15377,5.208083719,0,29.700687,58.626305,58.626305,264.65515,164.42401,84.38286,66.35614,0.48100635,0.69154921,0.08129447,0.42006394,1.673288,1.5919936,6.9799266,3.4409802,5.0770116,3.2925868,0.21532547,0.785947197,21.361717,6.267570897,6.4240937,15.48363892,14.195775,10.02591658,5.1767597,741.3935029,0.04461297,1.547546241,1.1978233,0.87680044,4.690397,35.77593857,6.7141547,9.871863843,19.218765,5.907533294,530.9889,103.006751,1198.2042,148.1140218,-76.33966,40.35418583,1536.273,169.5978346,851.73285,169.9215738,-77.54133,36.64360799,2557.3545,254.8597679,782.3053,145.2600546,-79.52034,35.752102,-12.78391,3.827049979,21.725655,4.894958966,0.015112003,135.1200991,-0.01459659,3.0099487,0.2660321,0.596332894,26.335566,6.221698456,4.2142577,15.27922671,15.614128,14.83694739,2.4825616,50.05441593,-9.724819,18.471672,-0.031081112,-0.003724081,0.11645891,16.666668,3.054167,0.25096202,0.202803041,0.14154667,0.176194875,-35.877728
28.695734,4.511119367,13.078249,28.862692,53.503685,40.425438,259.28464,137.91057,78.90133,58.8893,0.9883979,0.795086429,0.0693746,0.8428744,3.5098965,3.440522,13.721197,6.56422,9.839039,6.624942,0.5622522,0.941802249,16.756731,6.1252483,2.6886284,32.78632941,17.460058,41.06505361,0.62732726,17.3485578,0.04506314,1.424858793,1.3326446,0.81331097,3.3347056,30.92576288,3.0397105,26.70675268,14.3207855,8.045568505,512.9434,90.82443894,1118.2833,94.93434358,-69.496826,40.14559975,1559.54,116.0198973,749.219,132.6165481,-71.17434,35.45471292,2591.249,94.31595058,783.75793,163.0835675,-71.183014,35.91115902,-9.686336,3.72493447,17.197546,4.3910242,0.03643924,4.812893708,-0.018901454,1.04658533,0.70474756,0.730319202,22.995949,4.530569595,0.8190064,96.11210765,18.772078,17.65671937,-2.440291,27.87294384,-2.9224894,9.628372,-0.013448304,-0.006295088,0.2642471,15.625,2.9208336,0.29004207,0.243208052,0.13220868,0.150080742,-27.688663
26.586887,3.959677576,0,24.867691,60.912712,60.912712,165.45952,112.17427,94.311935,61.64723,0.7809036,0.893724544,0.012711708,0.69685996,2.4080894,2.3953776,10.132607,4.7722855,6.5624332,3.9397676,0.56097263,1.086788996,27.809427,10.91531851,6.4104533,13.33898263,15.624271,32.98613012,2.0390315,24.79194686,0.03848922,1.401703455,1.5118333,0.77923097,2.72206,23.51934271,0.91650087,84.42341127,18.662739,8.340051501,513.52277,90.31123232,1173.1875,136.7359311,-64.10554,46.27450886,1519.7357,162.1329643,906.1405,141.544212,-70.52894,41.65451417,2523.2947,212.1024972,816.7213,131.0404846,-72.94442,40.43298721,-13.503114,5.678120589,22.63469,6.384366321,0.051275276,1.152377839,-0.027171222,0.709202202,0.7060278,0.732009277,34.33791,10.63839337,3.910932,20.65415322,14.699425,14.80650453,0.28675258,25.09380691,-4.4471245,11.53649,0.029141713,-0.011330391,0.29085708,8.333334,2.6458335,0.32241267,0.271836041,0.153368,0.187153211,-27.174856
33.782578,4.631162008,16.919958,32.45069,61.94861,45.02865,268.38785,158.86754,108.480446,98.7527,0.8032709,0.871267476,0.016492113,0.7115564,3.458454,3.4419618,12.111823,6.167867,6.5794992,4.247613,0.5039296,0.981316581,21.181381,17.5929772,3.0218608,90.3194888,9.7136345,19.48198972,-5.2908936,22.36251207,0.05116325,1.43475774,1.5424904,0.778761903,3.614603,7.809788968,3.961246,17.44418757,18.864132,13.93966737,595.15625,81.06984233,1180.0969,150.8977315,-59.481876,36.92282566,1621.1267,101.5797392,931.7205,156.4642454,-60.19699,34.17727243,2676.9702,110.5711031,872.49115,135.06806,-62.895256,29.99482784,-10.76176,16.77670808,21.703547,6.425182688,0.039095644,16.03547733,-0.019995883,11.76432401,0.5931218,0.783273953,26.473097,14.2945429,-0.46008056,74.02152575,9.840131,28.40633615,-10.139865,2023.941373,-8.637706,17.288078,-0.013478039,-0.009290333,0.21455666,7.291667,3.1208334,0.29179266,0.252655319,0.09870295,0.124293335,-28.902061
29.218847,4.732504433,13.226588,29.314434,59.826492,46.599903,197.89597,135.15112,88.812294,79.37579,1.4131602,0.836008318,0.07054255,1.2631049,4.473046,4.4025035,17.7769,8.086165,10.766275,6.291887,0.96646374,0.93397377,12.613432,20.73799021,8.645368,20.44602049,13.872443,11.77165624,8.474483,67.06740751,0.048193764,1.338086426,1.2840637,0.669370989,3.1785564,25.02995377,4.502999,17.74463782,14.349926,5.360135461,624.76324,130.2346945,1060.9327,118.5410173,-72.31973,38.59770751,1670.4247,151.695022,779.78546,131.2035981,-71.70927,35.42408835,2676.8154,155.8401597,733.74164,120.94403,-72.921,34.86957116,-9.92616,4.725719714,18.384872,4.87617105,0.05049436,1.631762216,-0.012897129,4.650231647,1.1369479,0.771681826,17.062634,6.943044181,7.762778,54.41658811,15.369782,17.96507129,7.7008986,6470.743442,-1.3356681,8.846709,0.044931665,-0.002016818,0.48714998,8.333334,3.2625003,0.25690734,0.229833427,0.101174854,0.112405838,-22.968948
22.218393,2.102378146,15.808969,21.185976,58.813896,43.00493,205.63768,161.3284,126.662865,101.17702,1.7731911,0.830087236,0.007563618,1.6628613,4.26582,4.2582564,26.646519,11.821619,17.983976,9.914584,1.533594,0.808783318,16.963923,22.36237322,5.9340096,441.0148347,18.491503,10.28354841,-0.346096,21.28703902,0.04352464,1.311879814,1.6974378,0.831755833,0.49631402,31.61781022,5.192844,6.495554779,19.619135,5.329291112,527.7991,83.79000129,1084.1395,87.67190182,-53.017197,29.99918787,1553.7755,98.31025454,754.06354,132.5280395,-57.946526,27.75419588,2577.2795,105.8001298,696.9204,106.2042756,-60.275524,27.32790359,-9.824213,4.024842117,18.743164,3.423410707,0.017959561,43.93929939,-0.01802906,1.072807706,1.7892759,0.591228227,23.589317,5.364893696,4.608603,37.18185077,21.566555,10.30322622,-1.1906134,18.96502147,1.2326256,5.0765195,0.024091639,-0.001821973,0.8167271,9.375,3.1375,0.30264476,0.248521029,0.098905325,0.110837074,-18.75136
29.419046,3.050567764,14.189026,29.652496,41.433823,27.244797,195.23729,137.44385,51.13972,43.862446,1.8596514,0.785271903,0.04707284,1.6841133,4.7077045,4.6606317,26.023577,11.888742,15.569882,9.026033,1.4157858,0.837404032,26.204472,7.204547368,-1.5094919,38.21565807,16.853727,22.36544035,-4.46801,13.25939115,0.04223363,1.577377951,1.1925586,0.918493905,4.6323814,8.893988477,3.6394794,22.34010111,17.159441,4.662812154,471.05338,49.07025113,1159.209,100.1244503,-52.962673,31.80786319,1492.072,88.8894409,833.6684,125.3607515,-58.668617,28.5717588,2495.812,90.18260453,840.2778,138.4899096,-60.877857,27.6111705,-10.618015,3.578858392,20.712063,3.775889339,0.048452247,8.718910262,-0.018951096,5.212363662,1.6405398,0.694111164,31.239117,5.558441893,-3.0804718,67.07598267,18.65178,11.28461962,-6.167452,12.10751174,-3.108252,10.385526,0.013122953,-0.009246063,0.7436837,8.333334,3.025,0.320511,0.267730724,0.091566,0.107280553,-18.899582
31.445387,7.321618713,0,31.347383,55.39176,55.39176,260.46573,187.55453,86.32857,75.88905,1.4174798,0.921564665,0.001033966,1.1687595,4.911818,4.9107842,22.562262,11.556189,13.652496,9.884661,1.2193477,1.051625951,21.143215,10.09245462,0.55916595,12.792076,3.9057412,91.44208737,-2.2005801,40.07995824,0.06529913,1.477573157,1.4091444,0.816938325,3.1491244,10.49105237,5.586927,11.85270993,17.288227,9.624335016,640.60614,107.850409,1269.442,150.5845825,-62.507046,40.16053107,1638.5073,156.6516788,1003.6605,150.4079641,-62.595898,35.71082973,2659.5203,212.049445,858.8125,142.3686758,-65.668236,34.8307038,-10.999708,13.49269005,21.514935,6.71837882,0.037269983,13.03682246,-0.015636938,4.408653698,1.4445701,0.946980176,24.957943,10.13371642,-0.3850575,17.01069979,3.4276855,14.21231059,-3.6336539,25.4967372,-5.054923,12.873115,0.024304638,-0.00564424,0.80918807,13.541667,2.979167,0.31879285,0.271510617,0.10418199,0.146687785,-21.883303
30.316603,5.7725578,12.654188,31.186583,48.359936,35.70575,236.39873,166.21603,124.34565,115.14257,1.5728185,0.944802082,0.0829168,1.3173659,4.6789703,4.5960536,22.598202,10.386345,16.416,9.70919,1.119654,1.113447291,15.260393,24.28896406,9.247067,10.46233253,1.3136853,31.56844874,-7.026451,47.0165086,0.048159473,1.733907482,1.3097882,0.928611056,4.2022986,37.69160345,6.125161,14.0924933,17.208982,7.442742101,565.8738,93.18357368,1196.1505,98.34861961,-56.16186,31.7314108,1607.5492,125.6606056,902.1962,131.4430623,-55.30816,25.71782432,2671.968,149.9797088,798.9129,139.8250646,-58.088158,24.65957327,-12.699569,4.649929867,22.180813,4.959701515,0.014326014,167.575985,-0.024251536,0.848656296,1.312586,1.082646347,19.319191,5.881723011,7.2971473,22.88760632,-0.14407215,22.0557134,-10.565704,41.14322916,-6.742618,13.79593,-0.042161178,-0.011834276,0.48587885,8.333334,3.3458335,0.3022257,0.26849048,0.07543533,0.078212174,-20.963057
32.052177,5.47430184,0,32.61474,61.591045,61.591045,187.983,104.277084,82.70697,68.722046,1.0514265,0.937929675,0.10581269,0.84458315,8.669419,8.563606,15.875959,8.513518,10.338904,6.8739796,0.73042005,1.163607862,23.419565,7.957542884,1.1325542,48.78113776,1.4289639,14.29827284,13.855176,6.180203165,0.0546483,1.496336435,1.5699255,0.97816636,4.685579,30.15818589,4.2150636,53.25055555,18.723886,9.937774748,588.57104,99.00252562,1312.6388,157.6630795,-72.937805,42.09135936,1609.7062,167.3089194,1047.1066,147.3642139,-74.734825,37.19368192,2545.0635,253.5279083,1000.8967,141.8876804,-78.07906,36.25979384,-12.607254,7.7026903,23.411207,6.958348392,0.06907326,0.627475246,-0.024464581,1.295713492,0.92433465,1.031029484,30.380144,12.45251596,2.0839584,62.72670126,2.841038,877.6381606,14.780569,18.46736657,-2.2503114,11.840225,0.016185874,-0.008108557,0.33114126,8.333334,2.9375002,0.27076715,0.228111812,0.14329599,0.169445863,-25.066898
29.663694,4.902739467,15.888137,27.3575,60.473957,44.58582,311.90024,266.1779,132.82053,137.38219,0.83066237,0.870320389,0.02713654,0.6924899,3.058973,3.0318365,12.20826,6.4067326,8.613485,5.749623,0.55945545,1.055370374,22.21157,10.73830361,-1.4551955,30.66824348,14.777611,13.54083732,-9.774795,15.66434082,0.05742971,1.397130555,1.681909,0.806800708,2.306772,15.93079192,2.821683,32.96688968,13.464691,35.63208286,567.83215,102.4218698,1142.138,105.4795111,-57.441505,41.51255595,1608.4778,128.8787063,844.0032,148.037639,-58.776817,36.13159006,2644.4375,114.2182498,803.6618,101.1976011,-57.62002,36.09761856,-9.736967,6.046081719,17.802477,5.246279298,0.07089568,0.563325827,-0.023426643,2.316711413,0.69610393,0.81652885,27.86348,7.964327963,-5.474927,37.24015481,18.336395,15.82433968,-12.066787,92.08927013,-3.5812325,11.745248,0.022153925,-0.007199423,0.21203993,7.291667,3,0.29073998,0.246392578,0.11504866,0.146175632,-27.461788
31.318638,3.862763064,12.426149,32.139114,60.503067,48.07692,264.27402,130.19254,56.14469,45.312992,0.34543678,0.513628554,0.059757274,0.31869242,1.1651301,1.1053729,4.5776105,2.3959568,2.3894527,1.3747672,0.15552115,0.791113363,26.017612,6.203605478,8.316213,25.35332297,4.0235806,20.58067434,-5.888364,16.2529029,0.045845944,1.524745141,1.3236347,0.683287096,4.9689827,65.54991711,1.3670038,97.82766681,22.833727,7.79798299,572.92413,52.19853907,1291.5535,75.44960175,-56.61582,30.41543873,1624.104,108.4282458,993.96,122.9816032,-65.55099,26.98935889,2642.77,96.70637966,919.83264,108.5448016,-69.3621,25.83029137,-17.261465,3.608049312,27.122276,4.122637705,0.03722277,26.68146876,-0.032047257,0.510703141,0.18610577,0.650887748,31.051085,5.209702706,9.176573,52.84327629,3.411621,277.7563173,-7.6409755,193.3381365,-7.6717105,15.225098,-0.013348825,-0.015650999,0.05722834,8.333334,3,0.31553468,0.265788203,0.09919733,0.105290432,-38.03051
