F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
29.810717,4.050780239,16.36094,27.296354,61.289032,44.928093,329.4476,210.46347,134.1417,118.7308,1.3584558,0.867173423,0.075659014,1.1325408,3.8330164,3.7573574,20.442198,9.304356,10.954387,6.5302367,1.0916306,1.022253028,20.494692,8.238066421,-4.255131,43.68015982,16.180923,166.1172402,-3.9818604,404.5919678,0.064720616,1.372724738,1.816543,0.859876244,1.4889033,16.15005776,2.8751326,47.55160098,16.70452,7.088305162,557.5375,91.45675654,1137.0741,123.2456841,-55.47035,37.67078848,1608.008,109.6498508,799.78485,165.7466199,-58.00509,33.77792544,2647.3665,93.00189529,807.61255,111.8806662,-58.189133,32.63005727,-7.479669,12.98763215,18.037157,4.867367789,0.09553886,0.276083478,-0.01650423,9.90710303,1.360506,0.806237794,26.752382,8.416563779,-7.6254716,3172.607579,21.433159,11.48782945,-5.4048867,167.0693978,2.3511562,5.1996636,0.101027146,-0.005972916,0.38567847,7.291667,3.2333336,0.25922018,0.22935199,0.099914,0.116779102,-21.157354
35.731373,3.72031891,12.9967375,36.335865,51.873886,38.877148,231.47041,117.68822,41.241695,42.33357,1.017865,0.72349621,0.070741236,0.91181934,2.6708515,2.6001103,14.507566,7.201715,8.337199,5.0828586,0.7349194,0.977725122,23.133278,6.499005619,5.1328273,24.34924711,6.5708985,81.31731317,-1.2891589,166.6291382,0.031980928,1.661999505,1.0412104,0.888960681,8.220115,2.684143096,10.042097,7.689717151,21.704258,6.801763914,564.6179,67.00404468,1263.8755,83.13317702,-71.007195,38.32838688,1615.7395,103.3845338,943.83636,126.5530189,-68.269585,30.38784358,2611.7434,102.8050082,889.0905,117.2707589,-70.95933,29.64140145,-16.520351,4.150774534,25.34052,4.940018115,0.07407609,0.571417089,-0.029414883,0.904034134,0.91692674,0.770144055,28.009293,6.375414476,4.7967043,271.0342305,5.0144715,97.88414208,-5.3877616,233.2409467,-5.2303915,12.719941,0.009886584,-0.011901692,0.1905875,8.333334,2.5375,0.345714,0.258812475,0.12472866,0.129555839,-23.518204
28.307423,4.664507869,15.74567,28.249563,59.464012,43.71834,187.2818,154.23288,73.68469,67.80262,1.6694723,0.610174472,0.17512827,1.6865247,3.4915435,3.3164153,16.807505,7.6628675,13.603466,7.094666,1.3224956,0.756245852,23.326323,8.765133273,5.1165123,1276.787354,9.687166,121.49393,1.5622951,74.42744117,0.04291455,1.530993189,1.1918689,0.886456993,4.2983,4.782291754,6.240586,8.201368209,24.362343,5.152015937,535.7575,83.53004457,1174.8717,86.2560369,-36.098896,39.2606422,1554.0892,103.5635295,869.32416,98.11541068,-43.81854,28.02393082,2558.1902,104.6660144,791.9975,98.02468496,-48.021137,26.91493068,-13.761879,4.845561031,23.442934,4.16441556,0.07378243,0.629355698,-0.017779766,1.983527061,1.4300952,0.683677062,26.67086,5.830950968,5.3191447,214.9112273,10.157603,93.55783874,1.0859822,421.3813134,-2.852269,10.055311,0.04279586,-0.003160633,0.6147101,9.375,2.829167,0.39523533,0.319441694,0.06273133,0.081329125,-19.421919
27.628082,4.674824786,15.584192,27.6543,59.464012,43.87982,176.20128,143.58414,76.79158,69.38044,1.5854131,0.633252476,0.17512827,1.5930041,3.4896424,3.3145142,16.071907,7.4299703,13.204817,6.9884677,1.2811282,0.775563776,23.493505,8.80793946,5.530873,1276.38627,11.311164,121.5162105,2.0541892,16.89345968,0.04756733,1.524596004,1.2256982,0.896101786,4.054862,6.540817332,6.5074573,13.12287232,24.4915,4.965561738,531.2,81.38056913,1181.1503,94.51543839,-37.427258,38.58946336,1551.5945,102.6635871,864.8985,106.7132243,-45.481567,27.92107979,2552.7954,92.14170546,800.76624,98.78131818,-49.36097,26.75421729,-14.1224375,4.339352899,23.553059,3.965012604,0.07199707,0.934064961,-0.01685805,1.898505944,1.3921052,0.694421505,27.121761,5.834051887,5.5965157,214.7913761,11.831857,93.58488761,1.451967,415.2837523,-3.216993,10.612929,0.03685227,-0.002569552,0.57713825,9.375,2.8916667,0.38370362,0.311857655,0.06666066,0.08523592,-19.815445
28.66874,5.339921612,0,27.830917,59.57303,59.57303,202.74634,140.47119,102.72211,82.29731,1.3031543,1.103125117,0.023568803,1.0322999,4.231098,4.2075295,20.14914,9.219463,12.135283,6.8449354,0.96234185,1.209298128,22.447906,7.325271958,0.9268028,77.40868752,10.242898,22.99312129,-11.983357,16.03876965,0.052536972,1.425776331,1.5877075,0.864077083,2.8666272,9.610126081,0.4426043,21.45499966,17.570578,13.97502493,606.48975,139.0636109,1132.2236,195.5527942,-55.56464,177.9543604,1634.0768,266.0419512,839.8516,190.687409,-58.33389,47.87986646,2668.7642,403.3557455,783.1039,178.8754742,-60.521336,47.0065858,-10.79817,4.591366304,20.381922,5.236930407,0.11184007,0.255418888,-0.028882679,0.587749188,1.2453494,0.861387398,25.249386,13.64937691,-3.1047223,56.97887027,8.37902,26.40358205,-17.764202,13.62394229,-6.1566005,14.956733,0.081133395,-0.011037514,0.26546374,7.291667,2.325,0.3519293,0.266986439,0.174172,0.221183042,-22.558853
21.959702,4.156274913,12.273752,22.002398,61.056236,48.782486,161.80228,112.34728,108.82061,92.568954,0.8315331,0.604745251,0.14656277,0.76109034,2.8399982,2.6934354,7.458312,3.328387,4.3074217,2.5325954,0.40998602,0.664555953,16.277979,5.134182603,4.217337,28.36714262,9.370082,72.94054864,-1.6187439,110.6329746,0.051591348,1.388373076,1.3897351,0.58973717,-1.3625002,33.64513025,0.25332525,54.17925242,9.002414,14.65415734,576.002,129.4145169,1161.8895,93.61278501,-67.181076,34.9021217,1587.8452,147.1073543,830.3028,103.2936612,-69.87788,33.34449513,2607.6963,130.113658,687.471,100.4997836,-71.55488,32.47686205,-9.341352,3.085110146,17.055235,3.773563474,0.006152323,31.60674148,-0.015056824,52.86369807,0.4613677,0.617691571,19.29496,4.189669876,2.0230005,22.34777126,9.758215,27.29475109,-3.2575293,13.34513012,-7.27399,14.239405,-0.019046394,-0.008814936,0.2912968,7.291667,4.05,0.19526267,0.18687809,0.08828543,0.096619517,-32.34394
30.556421,6.008148065,0,29.622719,60.760677,60.760677,154.48816,104.72618,96.28044,86.79193,0.7999835,1.143026219,0.015142529,0.6438684,3.983504,3.9683616,11.123608,5.106668,7.146541,4.5072303,0.5758077,1.355551651,19.85065,29.94678309,3.6581118,95.72096928,2.3075826,26.59874735,3.3966992,55.59835899,0.052921914,1.280910809,1.6415204,0.864714511,3.0679653,56.9137762,1.4806095,167.4717711,18.823254,11.65597653,577.7867,152.0844336,1176.4082,196.7386963,-69.102394,107.5355489,1595.8958,200.0143717,888.4969,196.1986402,-70.20476,46.25118248,2616.442,228.4235376,883.5162,146.2217314,-74.56073,43.22701686,-11.1748705,21.61260351,23.57905,9.239500197,0.06578978,0.858912959,-0.01834903,11.18968201,0.7711887,0.974112931,25.98473,99.07888208,-0.8920282,17.26815507,1.9653323,25.55392474,-0.35025656,25.85904104,-11.220942,21.127722,-0.01169501,-0.005280216,0.1452084,7.291667,2.504167,0.299626,0.235220508,0.18453333,0.212132411,-28.58176
30.714825,5.346650042,17.051615,29.693186,60.760677,43.70906,123.923676,87.06121,103.18534,89.9175,0.8446416,1.094430585,0.015142529,0.70241874,3.983504,3.9683616,11.776872,5.1990743,7.3776746,4.4750805,0.631251,1.28407562,21.597033,29.80278515,4.1021786,71.22966241,2.3795123,27.70931802,4.6246147,56.3202569,0.05218294,1.280519432,1.6258674,0.803897855,3.315123,56.85610691,1.9706731,167.7075185,20.013464,10.38185803,556.0482,125.6582847,1196.4312,171.3340967,-61.248352,105.2973873,1580.7058,145.7142426,904.01355,174.8719225,-63.44393,40.52449547,2604.979,136.2034846,890.297,130.0065172,-68.38074,37.77321772,-12.242372,21.46961164,24.78348,7.716588365,0.06586691,0.804748492,-0.019213427,11.17951608,0.8186102,0.987742813,27.26867,98.9965857,0.6163385,17.23903878,2.1595504,23.10653246,1.7271864,26.37161154,-10.638885,20.662596,-0.00816684,-0.00512275,0.15928617,7.291667,2.616667,0.30275667,0.230319417,0.15634666,0.183284944,-27.526213
30.250021,3.569681659,13.325541,30.958126,40.858147,27.532606,153.59105,106.643265,73.78116,57.645187,0.882728,0.640755502,0.11182549,0.7860829,2.3073573,2.1955318,9.031281,4.64708,5.659763,3.6185277,0.5219165,0.873802433,22.171219,5.049696194,4.9595637,336.0002156,7.3511634,16.40078805,-1.1587063,356.946262,0.04542227,1.510919198,1.1548473,0.64891225,4.3095446,12.07514882,6.1035304,24.8177592,20.228958,5.27898505,499.96188,65.43930396,1212.0259,65.19216871,-52.957233,34.767025,1500.536,86.11144213,894.14545,96.53552459,-55.65517,30.49218732,2511.0164,82.66409595,824.3309,103.2856556,-60.46311,29.41477016,-11.964613,2.578829014,22.446136,2.688362478,0.0401268,2.897817808,-0.015247428,1.186919461,0.5922437,0.771904416,25.314003,4.116989754,4.123029,13.41866087,6.935918,21.05942465,-1.72119,316.1371563,-6.691332,14.375548,-0.005976378,-0.008112378,0.25072253,9.375,3.0333335,0.34949237,0.306961483,0.085207336,0.09346191,-27.915281
29.261032,4.706038413,17.832386,27.772097,61.12809,43.295704,185.5968,137.01456,104.806244,92.92452,1.0727549,0.849723148,0.002389492,0.9459631,3.0314426,3.0290532,14.351434,6.061598,9.464818,5.621882,0.7396537,0.980575892,21.309347,9.755356116,2.52462,16.17012029,14.783334,70.38226341,-12.60617,18.64213801,0.042352714,1.423043365,1.5335186,0.80636891,3.1140409,19.17732252,0.60117126,108.0067314,16.681717,8.301948386,537.85175,108.1890695,1160.7839,143.7481477,-43.245407,39.85528385,1578.4352,134.5069903,851.994,164.4259099,-50.17697,33.86435783,2598.4358,141.8165716,830.73,130.5510419,-50.97086,34.61874583,-10.970043,13.02452163,19.480484,7.2597612,0.09182171,0.374584146,-0.030791525,0.553343998,0.8608332,0.768544493,26.59832,10.19223865,1.064785,117.7000832,14.851052,15.54699532,-15.790871,25.60516625,0.12416896,6.1404233,0.06731325,-0.010584989,0.35959393,8.333334,2.6666667,0.34959266,0.262965903,0.10941666,0.139770148,-24.393547
